stage,elapsed_us
scheduler.enqueue_microbatch,6.141
scheduler.build_microbatch,14.807
scheduler.decode_pop,77784
scheduler.adapter_pop,78217.2
scheduler.enqueue_microbatch,11.546
scheduler.build_microbatch,21.003
scheduler.decode_pop,77783.7
scheduler.adapter_pop,79117.2
scheduler.enqueue_microbatch,3.646
scheduler.build_microbatch,7.5
scheduler.decode_pop,79684.3
scheduler.adapter_pop,79630.9
scheduler.enqueue_microbatch,3.933
scheduler.build_microbatch,11.31
scheduler.decode_pop,75763.9
scheduler.adapter_pop,76130.9
scheduler.enqueue_microbatch,16.702
scheduler.build_microbatch,28.781
scheduler.decode_pop,79875.1
scheduler.adapter_pop,79397.6
scheduler.enqueue_microbatch,7.903
scheduler.build_microbatch,19.979
scheduler.decode_pop,80531.5
scheduler.adapter_pop,80587
scheduler.enqueue_microbatch,6.728
scheduler.build_microbatch,17.912
scheduler.decode_pop,82097.2
scheduler.adapter_pop,81629.4
scheduler.enqueue_microbatch,5.797
scheduler.build_microbatch,11.628
scheduler.decode_pop,81847.5
scheduler.adapter_pop,80194.5
scheduler.enqueue_microbatch,6.058
scheduler.build_microbatch,14.577
scheduler.decode_pop,81754.8
scheduler.adapter_pop,82315.4
scheduler.enqueue_microbatch,5.256
scheduler.build_microbatch,13.658
scheduler.decode_pop,78297.7
scheduler.adapter_pop,78091.4
scheduler.enqueue_microbatch,7.248
scheduler.build_microbatch,18.496
scheduler.decode_pop,85188.2
scheduler.adapter_pop,85407.5
scheduler.enqueue_microbatch,10.975
scheduler.build_microbatch,23.191
scheduler.decode_pop,78127.6
scheduler.adapter_pop,78882.8
scheduler.enqueue_microbatch,4.58
scheduler.build_microbatch,12.336
scheduler.decode_pop,79849.4
scheduler.adapter_pop,78850
scheduler.enqueue_microbatch,7.179
scheduler.build_microbatch,15.552
scheduler.decode_pop,82570.7
scheduler.adapter_pop,83007.7
scheduler.enqueue_microbatch,7.565
scheduler.build_microbatch,15.265
scheduler.decode_pop,74997.2
scheduler.adapter_pop,75486.8
scheduler.enqueue_microbatch,6.286
scheduler.build_microbatch,16.933
scheduler.decode_pop,79460.8
scheduler.adapter_pop,80186.2
scheduler.enqueue_microbatch,4.929
